Before,After,Transition,Count,Percentage
qwen_1_5b_claim_only,qwen_1_5b_gold,correct_to_correct,74,0.15040650406504066
qwen_1_5b_claim_only,qwen_1_5b_gold,wrong_to_correct,152,0.3089430894308943
qwen_1_5b_claim_only,qwen_1_5b_gold,correct_to_wrong,118,0.23983739837398374
qwen_1_5b_claim_only,qwen_1_5b_gold,wrong_to_wrong,148,0.3008130081300813
qwen_1_5b_gold,qwen_1_5b_bm25,correct_to_correct,171,0.3475609756097561
qwen_1_5b_gold,qwen_1_5b_bm25,wrong_to_correct,23,0.046747967479674794
qwen_1_5b_gold,qwen_1_5b_bm25,correct_to_wrong,55,0.11178861788617886
qwen_1_5b_gold,qwen_1_5b_bm25,wrong_to_wrong,243,0.49390243902439024
qwen_1_5b_gold,qwen_1_5b_adversarial,correct_to_correct,89,0.18089430894308944
qwen_1_5b_gold,qwen_1_5b_adversarial,wrong_to_correct,75,0.1524390243902439
qwen_1_5b_gold,qwen_1_5b_adversarial,correct_to_wrong,137,0.2784552845528455
qwen_1_5b_gold,qwen_1_5b_adversarial,wrong_to_wrong,191,0.3882113821138211
qwen_1_5b_gold,qwen_14b_gold,correct_to_correct,169,0.3434959349593496
qwen_1_5b_gold,qwen_14b_gold,wrong_to_correct,146,0.2967479674796748
qwen_1_5b_gold,qwen_14b_gold,correct_to_wrong,57,0.11585365853658537
qwen_1_5b_gold,qwen_14b_gold,wrong_to_wrong,120,0.24390243902439024
qwen_14b_gold,qwen_14b_translated,correct_to_correct,267,0.5426829268292683
qwen_14b_gold,qwen_14b_translated,wrong_to_correct,90,0.18292682926829268
qwen_14b_gold,qwen_14b_translated,correct_to_wrong,48,0.0975609756097561
qwen_14b_gold,qwen_14b_translated,wrong_to_wrong,87,0.17682926829268292
